err,err_k,t,t_k,p,q,r
0.00270925799869137,,6.56598789463334,,-1.22E-15,0.0274464560452666,5.57E-17
0.00249582925155623,,6.64394314655758,,-3.94E-16,0.0263296913951894,-1.12E-18
0.00229931439417697,,6.72189839848183,,-4.85E-17,0.0252636977365564,-2.55E-17
0.00211841545866953,,6.79985365040607,,-2.10E-16,0.0242506602671889,5.98E-18
0.00195179209505669,,6.87780890233032,,-3.20E-16,0.0232771812272133,2.97E-17
0.00178358076522223,,6.96354809604715,,1.07E-16,0.0222397261816723,-1.29E-17
0.00162996030637097,,7.04928728976398,,2.76E-16,0.0212526066756385,-2.96E-17
0.0014897019689839,,7.13502648348081,,-4.33E-17,0.0203180071877172,4.67E-18
0.00136156555427625,,7.22076567719764,,-2.65E-16,0.0194230322936926,2.82E-17
0.00123483767258659,,7.31387661626957,,3.47E-16,0.018482011176248,-2.95E-17
0.00112001243280924,,7.40698755534149,,5.25E-16,0.0175920057590692,-5.00E-17
0.00101602043335336,,7.50009849441342,,-2.03E-16,0.0167575993388722,9.29E-18
0.000921743173510015,,7.59320943348534,,-6.17E-16,0.0159600508622381,4.77E-17
0.000838533359337035,,7.68363166881914,,1.73E-15,0.015203746321954,-2.66E-17
0.000762941109261117,,7.77405390415295,,2.59E-15,0.0144902980267243,-5.39E-17
0.000694317975935777,,7.86447613948675,,-3.51E-16,0.013826284400326,1.39E-17
0.000631923563213954,,7.95489837482056,,-2.33E-15,0.0131895273024467,5.77E-17
0.000580979037659857,,8.03557682449814,,-4.30E-16,0.0126296486684808,2.49E-18
0.000534221122135303,,8.11625527417573,,3.93E-16,0.0120988210727683,-1.97E-17
0.000491328412160597,,8.19693372385332,,-4.11E-16,0.0116005728540876,1.13E-17
0.000451930934124212,,8.27761217353091,,-9.89E-16,0.011121487355802,3.29E-17
0.000417815198341831,,8.35340176551525,,-1.39E-16,0.0106801970190038,6.34E-18
0.000386334402145083,,8.42919135749959,,2.28E-16,0.0102590331277887,-6.04E-18
0.000357292531116604,,8.50498094948393,,-1.75E-16,0.00985905840354128,3.66E-18
0.000330482028063184,,8.58077054146828,,-4.80E-16,0.00947427605688244,1.16E-17
0.000304030203732486,,8.6619484037192,,-8.78E-17,0.00907402014931495,-2.27E-18
0.000279756594518954,,8.74312626597013,,1.01E-16,0.00869219234512825,-7.59E-18
0.000257486554524622,,8.82430412822105,,-2.77E-17,0.00832940883701057,2.56E-18
0.000237044011921483,,8.90548199047198,,-1.42E-16,0.00798136216887366,9.36E-18
0.000216015390865021,,8.9968861615433,,-4.86E-16,0.00760246347510761,-7.77E-18
0.00019692629408552,,9.08829033261462,,-6.02E-16,0.00724322861112284,-1.38E-17
0.000179603749818513,,9.17969450368594,,7.25E-17,0.00690482512686609,3.23E-18
0.000163872231717654,,9.27109867475726,,4.95E-16,0.00658144509752346,1.43E-17
0.000149137651358933,,9.36542653071872,,-9.85E-16,0.00625725661149338,-8.47E-18
0.000135806133217509,,9.45975438668018,,-1.48E-15,0.00595163581475899,-1.69E-17
0.000123752120207543,,9.55408224264165,,3.05E-16,0.00566712812478276,3.85E-18
0.000112837369884433,,9.64841009860311,,1.40E-15,0.0053948608107911,1.73E-17
0.000103583403973762,,9.73630757395233,,-8.55E-16,0.00514489615427117,-5.06E-18
9.52E-05,,9.82420504930155,,-1.66E-15,0.00490950539940564,-1.37E-17
8.75E-05,,9.91210252465078,,4.29E-16,0.00469145760906161,3.45E-18
8.05E-05,,10,,1.79E-15,0.00448188603054579,1.51E-17
